"site","Descriptors","Yield","Standard error","count","year","start","end","p value","Significance","groups","detailed_name","order_rank","New.names.of.Descriptors"
"Younghusband","Rip.50IncRip_none",6.89685619144545,0.486889038674048,16,"2020to2021","2020","2021","1.137e-19","****","ns","Ripping to 50cm and inclusion with no amendments",130,"Rip.50IncRip"
"Younghusband","Spade.30_none",6.16850909545812,0.916919473264105,16,"2020to2021","2020","2021","1.137e-19","****","ns","spade 30cm with no amendments",35,"Spade.30"
"Younghusband","Rip.50_none",5.36168442571708,0.46596843418834,16,"2020to2021","2020","2021","1.137e-19","****","ns","Ripping to 50cm with no amendments",113,"Rip.50"
"Younghusband","Unmodified_SE14.band_8",4.36924601172478,0.669158817465324,16,"2020to2021","2020","2021","1.137e-19","****","ns","SE14 (wetter) banded 8cm",3,"SE14.band_8"
"Younghusband","Unmodified_Bi_Agra.surface+band_8",4.23146977094262,0.710319204070484,16,"2020to2021","2020","2021","1.137e-19","****","ns","Bi Agra (wetter) surface and banded 8cm",4,"Bi_Agra.surface+band_8"
"Brimpton Lake","Spade.30_Lc.incorp_30.Fert.incorp_30",16.8749167292788,1.98743210419029,4,"2014to2018","2014","2018","3.697e-05","****","ns","spade 30cm with lucerne and fertiliser incorporated 30cm",53,"Spade.30_Luc.incorp_30.Fert.incorp_30"
"Brimpton Lake","Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30",16.7112971599452,1.84776885064976,4,"2014to2018","2014","2018","3.697e-05","****","ns","spade 30cm with ulcerous and fertiliser and clay incorporated 30cm",55,"Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30"
"Brimpton Lake","Spade.30_Lc.incorp_30",16.2387675567834,2.97836403113151,4,"2014to2018","2014","2018","3.697e-05","****","ns","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Brimpton Lake","Spade.30_Lc.incorp_30.Clay.incorp_30",16.0560305879095,1.40922543385037,4,"2014to2018","2014","2018","3.697e-05","****","ns","spade 30cm with lucerne and clay incorporated 30cm",54,"Spade.30_Luc.incorp_30.Clay.incorp_30"
"Brimpton Lake","Spade.30_Clay.incorp_30",15.1146268664267,1.14621002216591,4,"2014to2018","2014","2018","3.697e-05","****","ns","spade 30cm with clay incorporated 30cm",69,"Spade.30_Clay.incorp_30"
