"site","latitude","longitude","Repellence","Acidity","Physical","met_station_number","Amelioration_Year","all_trial","non_wetting","acidic","physical"
"Kooloonong_chickpea",-34.64,143.56,0,0,1,"BALRANALD (RSL)_049002",2019,"Unmodified_Cl.surface & Control & Rip.50_none & Rip.50_Cl.surface","green","green","red"
"Kooloonong_lentil",-34.64,143.56,0,0,1,"BALRANALD (RSL)_049002",2019,"Control & Unmodified_Cl.surface & Rip.50_Cl.surface & Rip.50_none","green","green","red"
"Kooloonong_lupin",-34.64,143.56,0,0,1,"BALRANALD (RSL)_049002",2019,"Control & Unmodified_Cl.surface & Rip.50_Cl.surface & Rip.50_none","green","green","red"
"Tempy",-35.07,142.31,1,0,1,"OUYEN (POST OFFICE)_076047",2019,"Control & Rip.50_none & Rip.50IncRip_none & Rip.50IncRip_Cl.mix & Rip.50_Cl.deep","red","green","red"
"Wynarka",-35.09,139.9,1,0,1,"KAROONDA_025006",2019,"Control & Rip.60IncRip_none & Rip.60IncRip+Spade.30_none & Rip.30_none & Rip.60_none & Rip.60Spade.30_none & Spade.30_none","red","green","red"
"Monia_Gap",-33.49,145.52,0,0,1,"HILLSTON AIRPORT_075032",2019,"Spade.30_gypsum.mix & Spade.30_Cl.mix & Rip.60Spade.30_none & Spade.30_Cl.gypsum.mix & Spade.30_none & Control","green","green","red"
"Malinong",-35.52,139.51,1,1,1,"COOMANDOOK (MALINONG)_025508",2019,"Control & Spade.30_none & DiscInv.30_none & Rip.30_none & Rip.40_none","red","red","red"
"Sherwood",-36.1,140.36,0,0,1,"KEITH_025507",2019,"Control & Rip.30_none & Spade.30_none & Rip.30_Fert.surface & Spade.30_Fert.mix","green","green","red"
"Cummins",-34.26,135.73,0,1,1,"CUMMINS_018023",2019,"Control & Rip.30_none & Rip.30IncRip_none & Rip.30IncRip_gypsum.mix","green","red","red"
"Karkoo",-34.13,135.73,0,0,1,"YEELANNA_018099",2019,"Control & Rip.40_none & Rip.40IncRip_none & Rip.40IncRip_Lc.mix","green","green","red"
"Buckleboo",-33.14,136.41,0,0,1,"KIMBA_018040",2019,"Rip.35_none & Rip.45_none & Rip.45IncRip_none & Rip.45IncRip_Fert.deep & Control","green","green","red"
"Mt_Damper",-32.84,135.15,1,0,1,"MINNIPA AGRICULTURAL CENTRE_018052",2019,"Control & Spade.30_none & Rip.45IncRip_none & Rip.45IncRip+Spade.30_none & Rip.45IncRip_Fert.mix","red","green","red"
"Kybunga",-33.84,138.61,1,0,1,"CLARE POST OFFICE_021014",2019,"Control & Rip.30_none & Rip.50_none & Spade.30_none & Rip.50Spade.30_none & Rip.50_Cl.surface & Spade.30_Cl.mix","red","green","red"
"Warnertown",-33.35,138.1,1,0,1,"NUROM (RIVERSIDE FARM)_021102",2019,"DiscInv.30_none & Rip.50_none & Rip.50IncRip_none & Spade.30_none & Rip.30_none & Control","red","green","red"
"Telopea_Downs",-36.37,140.98,0,0,1,"SERVICETON_078034",2020,"Spade.30_clay@250 & Spade.30_clay@500 & Control","green","green","red"
