"site","year","crop","Descriptors","grouping","modification","yr_post_amelioration","yield (modified)","yield  (un modified)","data source","price"
"Buckleboo",2019,"wheat","Rip.35_none","deep ripping < 40cm no amendment","deep ripping",0,1.839418,1.658451,"trial data",283
"Buckleboo",2019,"wheat","Rip.45_none","deep ripping > 40cm no amendment","deep ripping",0,1.953452,1.658451,"trial data",283
"Buckleboo",2020,"barley","Rip.35_none","deep ripping < 40cm no amendment","deep ripping",1,1.55316,1.72819866666667,"trial data",223
"Buckleboo",2020,"barley","Rip.45_none","deep ripping > 40cm no amendment","deep ripping",1,1.62218933333333,1.72819866666667,"trial data",223
"Cummins",2019,"wheat","Rip.30_none","deep ripping < 40cm no amendment","deep ripping",0,4.3209876543209,4.78395061728399,"trial data",283
"Cummins",2020,"canola","Rip.30_none","deep ripping < 40cm no amendment","deep ripping",1,2.67229254571026,2.67229254571026,"trial data",545
"Karkoo",2019,"wheat","Rip.40_none","deep ripping < 40cm no amendment","deep ripping",0,4.35185185185185,3.67283950617284,"trial data",283
"Karkoo",2020,"canola","Rip.40_none","deep ripping < 40cm no amendment","deep ripping",1,2.25308641975309,2.22222222222222,"trial data",545
"Kooloonong_chickpea",2019,"chickpea","Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",0,1.1921130952381,0.276934523809524,"trial data",1020
"Kooloonong_chickpea",2019,"chickpea","Rip.50_none","deep ripping > 40cm no amendment","deep ripping",0,1.36934523809524,0.276934523809524,"trial data",1020
"Kooloonong_chickpea",2020,"barley","Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",1,3.23001644736842,2.42574013157895,"trial data",223
"Kooloonong_chickpea",2020,"barley","Rip.50_none","deep ripping > 40cm no amendment","deep ripping",1,3.14695723684211,2.42574013157895,"trial data",223
"Kooloonong_lentil",2019,"lentil","Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",0,0.478422619047619,0.127678571428571,"trial data",580
"Kooloonong_lentil",2019,"lentil","Rip.50_none","deep ripping > 40cm no amendment","deep ripping",0,0.517559523809524,0.127678571428571,"trial data",580
"Kooloonong_lentil",2020,"barley","Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",1,2.48371710526316,1.6249177631579,"trial data",223
"Kooloonong_lentil",2020,"barley","Rip.50_none","deep ripping > 40cm no amendment","deep ripping",1,2.21422697368421,1.6249177631579,"trial data",223
"Kooloonong_lupin",2019,"lupin","Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",0,2.00952380952381,1.79136904761905,"trial data",260
"Kooloonong_lupin",2019,"lupin","Rip.50_none","deep ripping > 40cm no amendment","deep ripping",0,2.190625,1.79136904761905,"trial data",260
