"grouping","modification","site","activity","year","value","comments","data.source","non_wetting","acidic","physical","nutrient","rainfall_mean_annual","site_numb"
"Control","Unmodified","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade fertiliser","Spade","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade mixed","Spade","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade non organic","Spade","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade none","Spade","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade plant","Spade","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified fertiliser","Unmodified","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified mixed","Unmodified","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified non organic","Unmodified","Brimpton Lake","additional costs ($/ha)",1,0,NA,"guess","orange","orange","red","orange",409,18099
"Control","Unmodified","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Spade fertiliser","Spade","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Spade mixed","Spade","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Spade none","Spade","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Spade plant","Spade","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Unmodified fertiliser","Unmodified","Brooker","additional costs ($/ha)",1,0,NA,"guess","red","green","orange","red",409,18099
"Control","Unmodified","Buckleboo","additional costs ($/ha)",1,0,NA,"guess","green","green","red","orange",346,18040
"IncRip fertiliser","IncRip","Buckleboo","additional costs ($/ha)",1,0,NA,"guess","green","green","red","orange",346,18040
"IncRip none","IncRip","Buckleboo","additional costs ($/ha)",1,0,NA,"guess","green","green","red","orange",346,18040
"Rip none","Rip","Buckleboo","additional costs ($/ha)",1,0,NA,"guess","green","green","red","orange",346,18040
"Control","Unmodified","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
"IncRip animal","IncRip","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
"IncRip none","IncRip","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
"Rip animal","Rip","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
"Rip none","Rip","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
"Unmodified animal","Unmodified","Bute_CSIRO","additional costs ($/ha)",1,0,NA,"guess","green","green","orange","red",394,21012
