"site","Descriptors","detailed_name"
"Kooloonong_chickpea","Unmodified_Cl.surface","chicken litter applied surface"
"Kooloonong_chickpea","Control","Control"
"Kooloonong_chickpea","Rip.50_none","Ripping to 50cm with no amendments"
"Kooloonong_chickpea","Rip.50_Cl.surface","Ripping to 50cm with chicken litter applied surface"
"Kooloonong_lentil","Control","Control"
"Kooloonong_lentil","Unmodified_Cl.surface","chicken litter applied surface"
"Kooloonong_lentil","Rip.50_Cl.surface","Ripping to 50cm with chicken litter applied surface"
"Kooloonong_lentil","Rip.50_none","Ripping to 50cm with no amendments"
"Kooloonong_lupin","Control","Control"
"Kooloonong_lupin","Unmodified_Cl.surface","chicken litter applied surface"
"Kooloonong_lupin","Rip.50_Cl.surface","Ripping to 50cm with chicken litter applied surface"
"Kooloonong_lupin","Rip.50_none","Ripping to 50cm with no amendments"
"Tempy","Control","Control"
"Tempy","Rip.50_none","Ripping to 50cm with no amendments"
"Tempy","Rip.50IncRip_none","Ripping to 50cm and inclusion with no amendments"
"Tempy","Rip.50IncRip_Cl.surface","Ripping to 50cm and inclusion with chicken litter applied surface"
"Tempy","Rip.50_Cl.surface","Ripping to 50cm with chicken litter applied surface"
"Wynarka","Control","Control"
"Wynarka","Rip.60IncRip_none","Ripping to 60cm and inclusion with no amendments"
"Wynarka","Rip.60IncRip+Spade.30_none","Ripping to 60cm and inclusion and spading 30cm with no amendments"
"Wynarka","Rip.30_none","Ripping to 30cm with no amendments"
"Wynarka","Rip.60_none","Ripping to 60cm with no amendments"
"Wynarka","Rip.60Spade.30_none","Ripping to 30cm and spading 30cm with no amendments"
"Wynarka","Spade.30_none","spade 30cm with no amendments"
"Monia_Gap","Spade.30_Gypsum.incorp_30","spade 30cm with gypsum incorporated 30cm"
"Monia_Gap","Spade.30_Cl.incorp_30","spade 30cm with chicken litter incorporated 30cm"
"Monia_Gap","Rip.60Spade.30_none","Ripping to 30cm and spading 30cm with no amendments"
"Monia_Gap","Spade.30_Cl.incorp_30.Gypsum.incorp_30","spade 30cm with chicken litter and gypsum incorporated 30cm"
"Monia_Gap","Spade.30_none","spade 30cm with no amendments"
"Monia_Gap","Control","Control"
"Malinong","Control","Control"
"Malinong","Spade.30_none","spade 30cm with no amendments"
"Malinong","DiscInv.30_none","Disc inversion to 30cm with no amendments"
"Malinong","Rip.30_none","Ripping to 30cm with no amendments"
"Malinong","Rip.40_none","Ripping to 40cm with no amendments"
"Sherwood","Control","Control"
"Sherwood","Rip.30_none","Ripping to 30cm with no amendments"
"Sherwood","Spade.30_none","spade 30cm with no amendments"
"Sherwood","Rip.30_Fert.surface","Ripping to 30cm with fertiliser applied at surface"
"Sherwood","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm"
"Cummins","Control","Control"
"Cummins","Rip.30_none","Ripping to 30cm with no amendments"
"Cummins","Rip.30IncRip_none","Ripping to 30cm and inclusion with no amendments"
"Cummins","Rip.30IncRip_Gypsum.incorp_30","Ripping to 30cm and inclusion with Gypsum incorporated 30cm"
"Karkoo","Control","Control"
"Karkoo","Rip.40_none","Ripping to 40cm with no amendments"
"Karkoo","Rip.40IncRip_none","Ripping to 40cm and inclusion with no amendments"
"Karkoo","Rip.40IncRip_Lc.incorp_40","Ripping to 40cm and inclusion with chicken litter incorporated 40cm"
"Buckleboo","Rip.35_none","Ripping to 35cm with no amendments"
"Buckleboo","Rip.45_none","Ripping to 45cm with no amendments"
"Buckleboo","Rip.45IncRip_none","Ripping to 45cm and inclusion with no amendments"
"Buckleboo","Rip.45IncRip_Fert_High.band_45","Ripping to 45cm and inclusion with fertiliser (high rate) banded 45cm"
"Buckleboo","Rip.45IncRip_Fert_Low.band_45","Ripping to 45cm and inclusion with fertiliser (low rate) banded 45cm"
"Buckleboo","Rip.45IncRip_Fert_APP.band_45","Ripping to 45cm and inclusion with fertiliser (app) banded 45cm"
"Buckleboo","Control","Control"
"Mt Damper","Control","Control"
"Mt Damper","Spade.30_none","spade 30cm with no amendments"
"Mt Damper","Rip.45IncRip_none","Ripping to 45cm and inclusion with no amendments"
"Mt Damper","Rip.45IncRip+Spade.30_none","Ripping to 45cm and inclusion and spading 30cm with no amendments"
"Mt Damper","Rip.45IncRip_Fert.incorp_45","Ripping to 45cm and inclusion with fertiliser banded 45cm"
"Kybunga","Control","Control"
"Kybunga","Rip.30_none","Ripping to 30cm with no amendments"
"Kybunga","Rip.50_none","Ripping to 50cm with no amendments"
"Kybunga","Spade.30_none","spade 30cm with no amendments"
"Kybunga","Rip.50Spade.30_none","Ripping to 50cm and spading 30cm with no amendments"
"Kybunga","Rip.50_Cl.surface","Ripping to 50cm with chicken litter applied surface"
"Kybunga","Spade.30_Cl.incorp_30","spade 30cm with chicken litter incorporated 30cm"
"Warnertown","DiscInv.30_none","Disc inversion to 30cm with no amendments"
"Warnertown","Rip.50_none","Ripping to 50cm with no amendments"
"Warnertown","Rip.50IncRip_none","Ripping to 50cm and inclusion with no amendments"
"Warnertown","Spade.30_none","spade 30cm with no amendments"
"Warnertown","Rip.30_none","Ripping to 30cm with no amendments"
"Warnertown","Control","Control"
"Telopea_Downs","Spade.30_Clay@250.incorp_30","spade 30cm with clay at 250t/ha"
"Telopea_Downs","Spade.30_Clay@500.incorp_30_Yr07,20","spade 30cm with clay at 250t/ha in years 2007 and 2020"
"Telopea_Downs","Control","Control"
"Kooloonong_canola","Unmodified_Cl.surface","chicken litter applied surface"
