site,Descriptors,detailed_name,New names of Descriptors
Kooloonong_chickpea,Control,Control,Control
Kooloonong_lentil,Control,Control,Control
Kooloonong_lupin,Control,Control,Control
Tempy,Control,Control,Control
Wynarka,Control,Control,Control
Monia_Gap,Control,Control,Control
Malinong,Control,Control,Control
Sherwood,Control,Control,Control
Cummins,Control,Control,Control
Karkoo,Control,Control,Control
Buckleboo,Control,Control,Control
Mt Damper,Control,Control,Control
Kybunga,Control,Control,Control
Warnertown,Control,Control,Control
Telopea_Downs,Control,Control,Control
Kooloonong_canola,Control,Control,Control
Brooker,Control,Control,Control
Bute_CSIRO,Control,Control,Control
Bute_Trengrove,Control,Control,Control
Carwarp_Amelioration,Control,Control,Control
Lowaldie_Crest,Control,Control,Control
Lowaldie_Deep sand,Control,Control,Control
Murlong,Control,Control,Control
Brimpton Lake,Control,Control,Control
Cadgee,Control,Control,Control
Karoonda,Control,Control,Control
Ouyen_Spade,Control,Control,Control
Waikerie,Control,Control,Control
Yenda,Control,Control,Control
Younghusband,Control,Control,Control
Ouyen_Placement,Control,Control,Control
Younghusband,Unmodified+OnRow_none,on row sowing with no amendments,OnRow
Younghusband,Unmodified_SE14.band_8,SE14 (wetter) banded 8cm,SE14.band_8
Younghusband,Unmodified_Bi_Agra.surface+band_8,Bi Agra (wetter) surface and banded 8cm,Bi_Agra.surface+band_8
Carwarp_Amelioration,Unmodified_Lc.surface,lucerne applied surface,Luc.surface
Kooloonong_chickpea,Unmodified_Cl.surface,chicken litter applied surface,ChickL.surface
Kooloonong_lentil,Unmodified_Cl.surface,chicken litter applied surface,ChickL.surface
Kooloonong_lupin,Unmodified_Cl.surface,chicken litter applied surface,ChickL.surface
Kooloonong_canola,Unmodified_Cl.surface,chicken litter applied surface,ChickL.surface
Waikerie,Unmodified_Cl.surface,chicken litter applied at surface,ChickL.surface
Bute_CSIRO,"Unmodified_Cl@2.5.surface_Yr18,19,20","chicken litter at 2.5t/ha applied surface in years 2018, 2019, 2020","ChickL@2.5.surface_Yr18,19,20 "
