"site","year","plot","rep_block","crop","rip","rip_depth","mix","organic","organic_rate","fertiliser","fertiliser_rate","other_ameliorant","other_rate","placement","establishment","yield","dry_biomass","comments...19","old descriptors - to be removed","comments...21","Rip_depth_jax","placement_jax","amendment","Descriptors","Repellence","Acidity","Physical","Nutrient","other","Amelioration_Date","Amelioration_Year","Latitude","Longitude","yr_post_amelioration","sowing_date","harvest_date","previous_crop","site_year","met_name_number","rain","decile","grouping","modification","non_wetting","acidic","physical","rainfall_mean_annual","site_numb"
"Kooloonong_chickpea",2019,NA,1,"chickpea","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","38.392857142857139","0.2386904761904762","1.4619047619047616",NA,"No Rip + CL",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,1,"chickpea","none",NA,"none","none","NA","none","NA","none","NA","NA","32.142857142857139","0.29345238095238096","2.1035714285714286",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,1,"chickpea","rip",500,"none","none","NA","none","NA","none","NA","NA","40.178571428571423","1.6565476190476187","4.0714285714285712",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,1,"chickpea","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","24.107142857142854","0.98392857142857149","4.3434523809523808",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,2,"chickpea","rip",500,"none","none","NA","none","NA","none","NA","NA","34.821428571428569","1.2232142857142858","3.3607142857142853",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,2,"chickpea","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","25.892857142857142","1.3809523809523807","4.0797619047619049",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,2,"chickpea","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","44.642857142857139","0.29702380952380952","1.5041666666666667",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,2,"chickpea","none",NA,"none","none","NA","none","NA","none","NA","NA","31.249999999999996","0.40892857142857147","1.2827380952380949",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,3,"chickpea","none",NA,"none","none","NA","none","NA","none","NA","NA","33.035714285714285","0.11547619047619048","1.4660714285714282",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,3,"chickpea","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","29.464285714285712","0.21607142857142855","1.7333333333333336",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,3,"chickpea","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","39.285714285714285","1.1845238095238093","2.2154761904761902",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
