"X","ID","site","year","plot","rep_block","crop","rip","rip_depth","mix","organic","organic_rate","fertiliser","fertiliser_content","other_ameliorant","other_rate","establishment","yield","dry_biomass","drill_depth","timing","sowing_strategy","comments","site_sub","Rip_depth_jax","amendment_organic","amendment_fert","amendment_other","Descriptors","Latitude","Longitude","Repellence","Acidity","Physical","Nutrient","other","Amelioration_Date","Amelioration_Year","yr_post_amelioration","sowing_date","harvest_date","previous_crop","site_year","met_name_number","site_numb","rain","decile","detailed_name","order_rank","New.names.of.Descriptors","modification","amendment_all","amendment_1","amendment_2","amendment_3","amendment_123","amendment_code1","grouping","non_wetting","acidic","physical","nutrient","rainfall_mean_annual","X.1"
1,"Kooloonong_chickpea_2019_plot_1_derived_rep_block_1","Kooloonong_chickpea",2019,"1_derived","1","chickpea","none",NA,"none","chicken_compost","5","none",NA,"none",NA,38.3928571428571,0.238690476190476,1.46190476190476,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"Cl.surface","other","other","Unmodified_Cl.surface",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","chicken litter applied surface",6,"ChickL.surface","ChickL","ChickL.surface","ChickL","","","ChickL","check","ChickL check","green","green","orange","orange",323,NA
2,"Kooloonong_chickpea_2019_plot_9_derived_rep_block_1","Kooloonong_chickpea",2019,"9_derived","1","chickpea","none",NA,"none","none",NA,"none",NA,"none",NA,32.1428571428571,0.293452380952381,2.10357142857143,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"other","other","other","Control",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Control",1,"Control","Unmodified","Control","Control","","","Control","none","Control","green","green","orange","orange",323,NA
3,"Kooloonong_chickpea_2019_plot_2_derived_rep_block_1","Kooloonong_chickpea",2019,"2_derived","1","chickpea","rip","500","none","none",NA,"none",NA,"none",NA,40.1785714285714,1.65654761904762,4.07142857142857,NA,NA,NA,NA,"Kooloonong_chickpea","50","other","other","other","Rip.50_none",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Ripping to 50cm with no amendments",113,"Rip.50","Rip","Rip.50","Rip","","","Rip","check","Rip check","green","green","orange","orange",323,NA
4,"Kooloonong_chickpea_2019_plot_10_derived_rep_block_1","Kooloonong_chickpea",2019,"10_derived","1","chickpea","rip","500","none","chicken_compost","5","none",NA,"none",NA,24.1071428571429,0.983928571428571,4.34345238095238,NA,NA,NA,NA,"Kooloonong_chickpea","50","Cl.surface","other","other","Rip.50_Cl.surface",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Ripping to 50cm with chicken litter applied surface",114,"Rip.50_ChickL.surface","Rip","ChickL.surface","ChickL","","","ChickL","check","Rip check","green","green","orange","orange",323,NA
5,"Kooloonong_chickpea_2019_plot_3_derived_rep_block_2","Kooloonong_chickpea",2019,"3_derived","2","chickpea","rip","500","none","none",NA,"none",NA,"none",NA,34.8214285714286,1.22321428571429,3.36071428571429,NA,NA,NA,NA,"Kooloonong_chickpea","50","other","other","other","Rip.50_none",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Ripping to 50cm with no amendments",113,"Rip.50","Rip","Rip.50","Rip","","","Rip","check","Rip check","green","green","orange","orange",323,NA
6,"Kooloonong_chickpea_2019_plot_11_derived_rep_block_2","Kooloonong_chickpea",2019,"11_derived","2","chickpea","rip","500","none","chicken_compost","5","none",NA,"none",NA,25.8928571428571,1.38095238095238,4.0797619047619,NA,NA,NA,NA,"Kooloonong_chickpea","50","Cl.surface","other","other","Rip.50_Cl.surface",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Ripping to 50cm with chicken litter applied surface",114,"Rip.50_ChickL.surface","Rip","ChickL.surface","ChickL","","","ChickL","check","Rip check","green","green","orange","orange",323,NA
7,"Kooloonong_chickpea_2019_plot_4_derived_rep_block_2","Kooloonong_chickpea",2019,"4_derived","2","chickpea","none",NA,"none","chicken_compost","5","none",NA,"none",NA,44.6428571428571,0.29702380952381,1.50416666666667,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"Cl.surface","other","other","Unmodified_Cl.surface",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","chicken litter applied surface",6,"ChickL.surface","ChickL","ChickL.surface","ChickL","","","ChickL","check","ChickL check","green","green","orange","orange",323,NA
8,"Kooloonong_chickpea_2019_plot_12_derived_rep_block_2","Kooloonong_chickpea",2019,"12_derived","2","chickpea","none",NA,"none","none",NA,"none",NA,"none",NA,31.25,0.408928571428571,1.28273809523809,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"other","other","other","Control",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Control",1,"Control","Unmodified","Control","Control","","","Control","none","Control","green","green","orange","orange",323,NA
9,"Kooloonong_chickpea_2019_plot_5_derived_rep_block_3","Kooloonong_chickpea",2019,"5_derived","3","chickpea","none",NA,"none","none",NA,"none",NA,"none",NA,33.0357142857143,0.11547619047619,1.46607142857143,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"other","other","other","Control",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","Control",1,"Control","Unmodified","Control","Control","","","Control","none","Control","green","green","orange","orange",323,NA
10,"Kooloonong_chickpea_2019_plot_13_derived_rep_block_3","Kooloonong_chickpea",2019,"13_derived","3","chickpea","none",NA,"none","chicken_compost","5","none",NA,"none",NA,29.4642857142857,0.216071428571429,1.73333333333333,NA,NA,NA,NA,"Kooloonong_chickpea",NA,"Cl.surface","other","other","Unmodified_Cl.surface",-34.6398,143.561,0,0,1,1,0,NA,2019,0,"2019-05-09","2019-12-02",NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002","049002",117.725,"decile_1","chicken litter applied surface",6,"ChickL.surface","ChickL","ChickL.surface","ChickL","","","ChickL","check","ChickL check","green","green","orange","orange",323,NA
