"site","year","Descriptors","yield (modified)","for_join_control","grouping","modification","crop","yr_post_amelioration","decile","rainfall_mean_annual","yield  (un modified)","data source","price"
"Younghusband",2020,"Rip.50IncRip_none",4.62994260204082,"Younghusband_2020","IncRip none","IncRip","wheat",0,"decile_7",296.43064516129,NA,"trial",0
"Younghusband",2020,"Spade.30_none",4.03617665816327,"Younghusband_2020","Spade none","Spade","wheat",0,"decile_7",296.43064516129,NA,"trial",0
"Younghusband",2020,"Rip.50_none",3.91240433673469,"Younghusband_2020","Rip none","Rip","wheat",0,"decile_7",296.43064516129,NA,"trial",0
"Younghusband",2020,"Unmodified_SE14.band_8",2.94236288265306,"Younghusband_2020","Unmodified non organic","Unmodified","wheat",0,"decile_7",296.43064516129,NA,"trial",0
"Younghusband",2020,"Unmodified_Bi_Agra.surface+band_8",2.76293048469388,"Younghusband_2020","Unmodified non organic","Unmodified","wheat",0,"decile_7",296.43064516129,NA,"trial",0
"Younghusband",2021,"Rip.50IncRip_none",2.26691358940464,"Younghusband_2021","IncRip none","IncRip","barley",1,"decile_6",296.43064516129,NA,"trial",0
"Younghusband",2021,"Spade.30_none",2.13233243729485,"Younghusband_2021","Spade none","Spade","barley",1,"decile_6",296.43064516129,NA,"trial",0
"Younghusband",2021,"Unmodified_Bi_Agra.surface+band_8",1.46853928624874,"Younghusband_2021","Unmodified non organic","Unmodified","barley",1,"decile_6",296.43064516129,NA,"trial",0
"Younghusband",2021,"Rip.50_none",1.44928008898239,"Younghusband_2021","Rip none","Rip","barley",1,"decile_6",296.43064516129,NA,"trial",0
"Younghusband",2021,"Unmodified_SE14.band_8",1.42688312907172,"Younghusband_2021","Unmodified non organic","Unmodified","barley",1,"decile_6",296.43064516129,NA,"trial",0
"Brimpton Lake",2014,"Spade.30_Lc.incorp_30",3.075,"Brimpton Lake_2014","Spade plant","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Lc.incorp_30.Fert.incorp_30",2.9,"Brimpton Lake_2014","Spade mixed","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30",2.845,"Brimpton Lake_2014","Spade mixed","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Lc.incorp_30.Clay.incorp_30",2.6575,"Brimpton Lake_2014","Spade mixed","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Clay.incorp_30",2.495,"Brimpton Lake_2014","Spade non organic","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_none",2.2925,"Brimpton Lake_2014","Spade none","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Unmodified_Clay.incorp_10",2.0775,"Brimpton Lake_2014","Unmodified non organic","Unmodified","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Unmodified_Fert.band_30",1.8725,"Brimpton Lake_2014","Unmodified fertiliser","Unmodified","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Fert.incorp_30.Clay.incorp_30",1.77,"Brimpton Lake_2014","Spade mixed","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Spade.30_Fert.incorp_30",1.575,"Brimpton Lake_2014","Spade fertiliser","Spade","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2014,"Unmodified_Fert.band_30.Clay.incorp_10",1.525,"Brimpton Lake_2014","Unmodified mixed","Unmodified","Wheat",0,"decile_7",412.517741935484,1.425,"trial",0
"Brimpton Lake",2015,"Spade.30_Lc.incorp_30.Fert.incorp_30",3.82231541067013,"Brimpton Lake_2015","Spade mixed","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Lc.incorp_30",3.6869761488138,"Brimpton Lake_2015","Spade plant","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Lc.incorp_30.Clay.incorp_30",3.4195842888371,"Brimpton Lake_2015","Spade mixed","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30",3.37551784873724,"Brimpton Lake_2015","Spade mixed","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Clay.incorp_30",2.84566552952755,"Brimpton Lake_2015","Spade non organic","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Unmodified_Clay.incorp_10",2.74590051472561,"Brimpton Lake_2015","Unmodified non organic","Unmodified","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_none",2.7109201845026,"Brimpton Lake_2015","Spade none","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Fert.incorp_30",2.68293248399711,"Brimpton Lake_2015","Spade fertiliser","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Spade.30_Fert.incorp_30.Clay.incorp_30",2.47738191166269,"Brimpton Lake_2015","Spade mixed","Spade","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Unmodified_Fert.band_30",2.18370878815819,"Brimpton Lake_2015","Unmodified fertiliser","Unmodified","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
"Brimpton Lake",2015,"Unmodified_Fert.band_30.Clay.incorp_10",2.04917818034294,"Brimpton Lake_2015","Unmodified mixed","Unmodified","Wheat",1,"decile_4",412.517741935484,1.89411169239811,"trial",0
